"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.177391269915958e+06, 1.710144872882474e+00, 3.699098622351876e-01
1, 1.442699905907213e-04, 8.528434571536193e-03, 1.125612989788305e+06, 1.627957126648104e+00, 3.133294565342447e-01
2, 5.023772863019159e-04, 1.307279997719748e-02, 1.048062139669128e+06, 1.504860539157346e+00, 3.088706565445746e-01
3, 1.042303658057365e-03, 1.657130227362624e-02, 1.041030719697771e+06, 1.493699555075827e+00, 3.269674508694395e-01
4, 1.749379318309245e-03, 1.948852767790559e-02, 1.022200740889108e+06, 1.463810699823981e+00, 3.804695363197655e-01
5, 2.614098881478183e-03, 2.202768679123999e-02, 9.862614322934563e+05, 1.406764178243582e+00, 4.524458919900490e-01
6, 3.629512146589799e-03, 2.430176327520544e-02, 9.367228936091502e+05, 1.328131577157382e+00, 5.312161377747815e-01
7, 4.790187084922417e-03, 2.638202200971745e-02, 8.783276103152873e+05, 1.235440651294107e+00, 6.112218811823076e-01
8, 6.091692603890811e-03, 2.831710708751806e-02, 8.158435695189262e+05, 1.136259634157026e+00, 6.897617491148076e-01
9, 7.530304196676334e-03, 3.014206810033735e-02, 7.534297650679114e+05, 1.037190103282399e+00, 7.653257004902672e-01
10, 9.102821015130401e-03, 3.188316854089571e-02, 6.942125485474707e+05, 9.431945215039219e-01, 8.369876963283484e-01
11, 1.080644473408850e-02, 3.356067569892338e-02, 6.401416154559832e+05, 8.573676435809260e-01, 9.042090831415419e-01
12, 1.263869537481550e-02, 3.519058708984578e-02, 5.920927693630590e+05, 7.810996339096176e-01, 9.667884151513894e-01
13, 1.459735055171807e-02, 3.678575413112305e-02, 5.500667447151199e+05, 7.143916582779684e-01, 1.024911252370814e+00
14, 1.668040026029212e-02, 3.835664394857740e-02, 5.132008505021658e+05, 6.558743658764538e-01, 1.079482948354403e+00
15, 1.888601236842122e-02, 3.991187356007904e-02, 4.788528391267099e+05, 6.013537128995396e-01, 1.133858182636028e+00
16, 2.121250571097591e-02, 4.145859524866402e-02, 4.488896014508348e+05, 5.537930181759284e-01, 1.186007945934312e+00
17, 2.365832872861489e-02, 4.300278143790631e-02, 4.274906965599892e+05, 5.198265024761735e-01, 1.226683274850330e+00
18, 2.622204224083100e-02, 4.454943978896993e-02, 4.090351934724364e+05, 4.905320531308515e-01, 1.264516795333427e+00
19, 2.890230536219902e-02, 4.610277867398593e-02, 3.930796511119385e+05, 4.652057954157755e-01, 1.299695629854534e+00
20, 3.169786384922227e-02, 4.766633661314215e-02, 3.793397495963133e+05, 4.433964279306561e-01, 1.332250328919253e+00
21, 3.460754035506877e-02, 4.924308505591259e-02, 3.675393013183548e+05, 4.246655576481823e-01, 1.362298582739680e+00
22, 3.763022620195671e-02, 5.083551111974158e-02, 3.574102954655513e+05, 4.085877705802402e-01, 1.390029284739021e+00
23, 4.076487437523164e-02, 5.244568503635835e-02, 3.487032401431581e+05, 3.947670478462827e-01, 1.415668328144592e+00
24, 4.401049351149500e-02, 5.407531577495455e-02, 3.411938291219700e+05, 3.828473478126508e-01, 1.439452141309431e+00
25, 4.736614270344994e-02, 5.572579741413214e-02, 3.346855580972250e+05, 3.725167588844842e-01, 1.461610436654462e+00
26, 5.083092698171662e-02, 5.739824819521267e-02, 3.290094649488730e+05, 3.635070872204333e-01, 1.482356342276490e+00
27, 5.440399336232623e-02, 5.909354372696685e-02, 3.240223061831141e+05, 3.555909621954192e-01, 1.501881386947334e+00
28, 5.808452737040847e-02, 6.081234547248136e-02, 3.196036086412398e+05, 3.485771565733965e-01, 1.520354513344138e+00
29, 6.187174996748266e-02, 6.255512539671790e-02, 3.156526621489908e+05, 3.423058129349062e-01, 1.537922704994501e+00
30, 6.576491482298663e-02, 6.432218746373197e-02, 3.120856325690041e+05, 3.366438612206415e-01, 1.554712595020831e+00
31, 6.976330588112542e-02, 6.611368652843225e-02, 3.088329220275535e+05, 3.314808286151643e-01, 1.570832553130955e+00
32, 7.386623518244934e-02, 6.792964505716390e-02, 3.058368374228852e+05, 3.267251387664845e-01, 1.586374915175672e+00
33, 7.807304090626041e-02, 6.976996802572216e-02, 3.030495818709897e+05, 3.223009236047456e-01, 1.601418151996636e+00
34, 8.238308560536230e-02, 7.163445627646640e-02, 3.004271712991605e+05, 3.181383671415247e-01, 1.616037521666487e+00
35, 8.679575460908273e-02, 7.352281856349560e-02, 2.979276807591254e+05, 3.141709218398818e-01, 1.630307470486025e+00
36, 9.131045457412076e-02, 7.543468247303733e-02, 2.955133689920678e+05, 3.103386809397901e-01, 1.644296637765955e+00
37, 9.592661216576023e-02, 7.736960437281108e-02, 2.931528037969611e+05, 3.065917520586685e-01, 1.658063094111893e+00
38, 1.006436728544758e-01, 7.932707851729366e-02, 2.908217417619703e+05, 3.028916535904292e-01, 1.671652204812909e+00
39, 1.054610998150296e-01, 8.130654541411918e-02, 2.885029028468844e+05, 2.992109568998166e-01, 1.685096774272523e+00
40, 1.103783729168972e-01, 8.330739953921323e-02, 2.861850985012930e+05, 2.955319023830048e-01, 1.698418522666550e+00
41, 1.153949877963289e-01, 8.532899647385203e-02, 2.838620948695302e+05, 2.918445950310005e-01, 1.711630120691448e+00
42, 1.205104550015939e-01, 8.737065952500823e-02, 2.815314486900717e+05, 2.881451566509075e-01, 1.724737306519543e+00
43, 1.257242992040140e-01, 8.943168588058725e-02, 2.791934421176327e+05, 2.844340351073536e-01, 1.737740835338182e+00
44, 1.310360584682959e-01, 9.151135234307671e-02, 2.768501737680935e+05, 2.807145615366564e-01, 1.750638149351158e+00
45, 1.364452835764453e-01, 9.360892067840579e-02, 2.745048242248492e+05, 2.769917844838877e-01, 1.763424732168108e+00
46, 1.419515374002146e-01, 9.572364261119533e-02, 2.721610926367809e+05, 2.732715756139379e-01, 1.776095152270778e+00
47, 1.475543943176105e-01, 9.785476449286823e-02, 2.698227891216456e+05, 2.695599827327709e-01, 1.788643822014079e+00
48, 1.532534396694895e-01, 1.000015316651221e-01, 2.674935614051460e+05, 2.658627958811842e-01, 1.801065509883243e+00
49, 1.590482692526998e-01, 1.021631925379110e-01, 2.651767314627820e+05, 2.621852880361619e-01, 1.813355648585669e+00
50, 1.649384888466118e-01, 1.043390023982347e-01, 2.628752177823451e+05, 2.585320917180082e-01, 1.825510482114857e+00
51, 1.709237137702073e-01, 1.065282269636017e-01, 2.605915204700769e+05, 2.549071753493284e-01, 1.837527092489482e+00
52, 1.770035684671902e-01, 1.087301456919526e-01, 2.583277491574626e+05, 2.513138875515280e-01, 1.849403342468060e+00
53, 1.831776861168365e-01, 1.109440548580348e-01, 2.560856769972407e+05, 2.477550428527631e-01, 1.861137765018603e+00
54, 1.894457082685268e-01, 1.131692704046721e-01, 2.538668075348521e+05, 2.442330278330987e-01, 1.872729424400247e+00
55, 1.958072844981067e-01, 1.154051305760220e-01, 2.516722476366843e+05, 2.407495994233085e-01, 1.884178199481201e+00
56, 2.022620720843930e-01, 1.176509983387410e-01, 2.495024198386075e+05, 2.373054283152501e-01, 1.895485433293453e+00
57, 2.088097357043046e-01, 1.199062635959464e-01, 2.473569028118986e+05, 2.338998457331725e-01, 1.906654323730680e+00
58, 2.154499471452359e-01, 1.221703451979562e-01, 2.452345057787276e+05, 2.305309615535359e-01, 1.917689807798658e+00
59, 2.221823850334134e-01, 1.244426927529943e-01, 2.431335340086543e+05, 2.271960857280227e-01, 1.928598013080258e+00
60, 2.290067345770906e-01, 1.267227882403473e-01, 2.410521483180601e+05, 2.238922989175558e-01, 1.939385476032781e+00
61, 2.359226873235356e-01, 1.290101474278408e-01, 2.389887272714534e+05, 2.206170274150055e-01, 1.950058323673011e+00
62, 2.429299409288542e-01, 1.313043210949720e-01, 2.369421697224972e+05, 2.173685233690432e-01, 1.960621559139377e+00
63, 2.500281989397730e-01, 1.336048960625727e-01, 2.349121060786695e+05, 2.141462001248723e-01, 1.971078528307630e+00
